ICON_BULBASAUR   ; BULBASAUR
ICON_BULBASAUR   ; IVYSAUR
ICON_BULBASAUR   ; VENUSAUR
ICON_CHARMANDER  ; CHARMANDER
ICON_CHARMANDER  ; CHARMELEON
ICON_BIGMON      ; CHARIZARD
ICON_SQUIRTLE    ; SQUIRTLE
ICON_SQUIRTLE    ; WARTORTLE
ICON_SQUIRTLE    ; BLASTOISE
ICON_CATERPILLAR ; CATERPIE
ICON_CATERPILLAR ; METAPOD
ICON_MOTH        ; BUTTERFREE
ICON_CATERPILLAR ; WEEDLE
ICON_CATERPILLAR ; KAKUNA
ICON_BUG         ; BEEDRILL
ICON_BIRD        ; PIDGEY
ICON_BIRD        ; PIDGEOTTO
ICON_BIRD        ; PIDGEOT
ICON_FOX         ; RATTATA
ICON_FOX         ; RATICATE
ICON_BIRD        ; SPEAROW
ICON_BIRD        ; FEAROW
ICON_SERPENT     ; EKANS
ICON_SERPENT     ; ARBOK
ICON_PIKACHU     ; PIKACHU
ICON_PIKACHU     ; RAICHU
ICON_MONSTER     ; SANDSHREW
ICON_MONSTER     ; SANDSLASH
ICON_FOX         ; NIDORAN_F
ICON_FOX         ; NIDORINA
ICON_MONSTER     ; NIDOQUEEN
ICON_FOX         ; NIDORAN_M
ICON_FOX         ; NIDORINO
ICON_MONSTER     ; NIDOKING
ICON_CLEFAIRY    ; CLEFAIRY
ICON_CLEFAIRY    ; CLEFABLE
ICON_FOX         ; VULPIX
ICON_FOX         ; NINETALES
ICON_JIGGLYPUFF  ; JIGGLYPUFF
ICON_JIGGLYPUFF  ; WIGGLYTUFF
ICON_BAT         ; ZUBAT
ICON_BAT         ; GOLBAT
ICON_ODDISH      ; ODDISH
ICON_ODDISH      ; GLOOM
ICON_ODDISH      ; VILEPLUME
ICON_BUG         ; PARAS
ICON_BUG         ; PARASECT
ICON_CATERPILLAR ; VENONAT
ICON_MOTH        ; VENOMOTH
ICON_DIGLETT     ; DIGLETT
ICON_DIGLETT     ; DUGTRIO
ICON_FOX         ; MEOWTH
ICON_FOX         ; PERSIAN
ICON_MONSTER     ; PSYDUCK
ICON_MONSTER     ; GOLDUCK
ICON_FIGHTER     ; MANKEY
ICON_FIGHTER     ; PRIMEAPE
ICON_FOX         ; GROWLITHE
ICON_FOX         ; ARCANINE
ICON_POLIWAG     ; POLIWAG
ICON_POLIWAG     ; POLIWHIRL
ICON_POLIWAG     ; POLIWRATH
ICON_HUMANSHAPE  ; ABRA
ICON_HUMANSHAPE  ; KADABRA
ICON_HUMANSHAPE  ; ALAKAZAM
ICON_FIGHTER     ; MACHOP
ICON_FIGHTER     ; MACHOKE
ICON_FIGHTER     ; MACHAMP
ICON_ODDISH      ; BELLSPROUT
ICON_ODDISH      ; WEEPINBELL
ICON_ODDISH      ; VICTREEBEL
ICON_JELLYFISH   ; TENTACOOL
ICON_JELLYFISH   ; TENTACRUEL
ICON_GEODUDE     ; GEODUDE
ICON_GEODUDE     ; GRAVELER
ICON_GEODUDE     ; GOLEM
ICON_EQUINE      ; PONYTA
ICON_EQUINE      ; RAPIDASH
ICON_SLOWPOKE    ; SLOWPOKE
ICON_SLOWPOKE    ; SLOWBRO
ICON_VOLTORB     ; MAGNEMITE
ICON_VOLTORB     ; MAGNETON
ICON_BIRD        ; FARFETCH_D
ICON_BIRD        ; DODUO
ICON_BIRD        ; DODRIO
ICON_LAPRAS      ; SEEL
ICON_LAPRAS      ; DEWGONG
ICON_BLOB        ; GRIMER
ICON_BLOB        ; MUK
ICON_SHELL       ; SHELLDER
ICON_SHELL       ; CLOYSTER
ICON_GHOST       ; GASTLY
ICON_GHOST       ; HAUNTER
ICON_GHOST       ; GENGAR
ICON_SERPENT     ; ONIX
ICON_HUMANSHAPE  ; DROWZEE
ICON_HUMANSHAPE  ; HYPNO
ICON_SHELL       ; KRABBY
ICON_SHELL       ; KINGLER
ICON_VOLTORB     ; VOLTORB
ICON_VOLTORB     ; ELECTRODE
ICON_ODDISH      ; EXEGGCUTE
ICON_ODDISH      ; EXEGGUTOR
ICON_MONSTER     ; CUBONE
ICON_MONSTER     ; MAROWAK
ICON_FIGHTER     ; HITMONLEE
ICON_FIGHTER     ; HITMONCHAN
ICON_MONSTER     ; LICKITUNG
ICON_BLOB        ; KOFFING
ICON_BLOB        ; WEEZING
ICON_EQUINE      ; RHYHORN
ICON_MONSTER     ; RHYDON
ICON_CLEFAIRY    ; CHANSEY
ICON_ODDISH      ; TANGELA
ICON_MONSTER     ; KANGASKHAN
ICON_FISH        ; HORSEA
ICON_FISH        ; SEADRA
ICON_FISH        ; GOLDEEN
ICON_FISH        ; SEAKING
ICON_STARYU      ; STARYU
ICON_STARYU      ; STARMIE
ICON_HUMANSHAPE  ; MR__MIME
ICON_BUG         ; SCYTHER
ICON_HUMANSHAPE  ; JYNX
ICON_HUMANSHAPE  ; ELECTABUZZ
ICON_HUMANSHAPE  ; MAGMAR
ICON_BUG         ; PINSIR
ICON_EQUINE      ; TAUROS
ICON_FISH        ; MAGIKARP
ICON_GYARADOS    ; GYARADOS
ICON_LAPRAS      ; LAPRAS
ICON_BLOB        ; DITTO
ICON_FOX         ; EEVEE
ICON_FOX         ; VAPOREON
ICON_FOX         ; JOLTEON
ICON_FOX         ; FLAREON
ICON_VOLTORB     ; PORYGON
ICON_SHELL       ; OMANYTE
ICON_SHELL       ; OMASTAR
ICON_SHELL       ; KABUTO
ICON_SHELL       ; KABUTOPS
ICON_BIRD        ; AERODACTYL
ICON_SNORLAX     ; SNORLAX
ICON_BIRD        ; ARTICUNO
ICON_BIRD        ; ZAPDOS
ICON_BIRD        ; MOLTRES
ICON_SERPENT     ; DRATINI
ICON_SERPENT     ; DRAGONAIR
ICON_BIGMON      ; DRAGONITE
ICON_HUMANSHAPE  ; MEWTWO
ICON_HUMANSHAPE  ; MEW
ICON_ODDISH      ; CHIKORITA
ICON_ODDISH      ; BAYLEEF
ICON_ODDISH      ; MEGANIUM
ICON_FOX         ; CYNDAQUIL
ICON_FOX         ; QUILAVA
ICON_FOX         ; TYPHLOSION
ICON_MONSTER     ; TOTODILE
ICON_MONSTER     ; CROCONAW
ICON_MONSTER     ; FERALIGATR
ICON_FOX         ; SENTRET
ICON_FOX         ; FURRET
ICON_BIRD        ; HOOTHOOT
ICON_BIRD        ; NOCTOWL
ICON_BUG         ; LEDYBA
ICON_BUG         ; LEDIAN
ICON_BUG         ; SPINARAK
ICON_BUG         ; ARIADOS
ICON_BAT         ; CROBAT
ICON_FISH        ; CHINCHOU
ICON_FISH        ; LANTURN
ICON_PIKACHU     ; PICHU
ICON_CLEFAIRY    ; CLEFFA
ICON_JIGGLYPUFF  ; IGGLYBUFF
ICON_CLEFAIRY    ; TOGEPI
ICON_BIRD        ; TOGETIC
ICON_BIRD        ; NATU
ICON_BIRD        ; XATU
ICON_FOX         ; MAREEP
ICON_MONSTER     ; FLAAFFY
ICON_MONSTER     ; AMPHAROS
ICON_ODDISH      ; BELLOSSOM
ICON_JIGGLYPUFF  ; MARILL
ICON_JIGGLYPUFF  ; AZUMARILL
ICON_SUDOWOODO   ; SUDOWOODO
ICON_POLIWAG     ; POLITOED
ICON_ODDISH      ; HOPPIP
ICON_ODDISH      ; SKIPLOOM
ICON_ODDISH      ; JUMPLUFF
ICON_MONSTER     ; AIPOM
ICON_ODDISH      ; SUNKERN
ICON_ODDISH      ; SUNFLORA
ICON_BUG         ; YANMA
ICON_MONSTER     ; WOOPER
ICON_MONSTER     ; QUAGSIRE
ICON_FOX         ; ESPEON
ICON_FOX         ; UMBREON
ICON_BIRD        ; MURKROW
ICON_SLOWPOKE    ; SLOWKING
ICON_GHOST       ; MISDREAVUS
ICON_UNOWN       ; UNOWN
ICON_GHOST       ; WOBBUFFET
ICON_EQUINE      ; GIRAFARIG
ICON_BUG         ; PINECO
ICON_BUG         ; FORRETRESS
ICON_SERPENT     ; DUNSPARCE
ICON_BUG         ; GLIGAR
ICON_SERPENT     ; STEELIX
ICON_MONSTER     ; SNUBBULL
ICON_MONSTER     ; GRANBULL
ICON_FISH        ; QWILFISH
ICON_BUG         ; SCIZOR
ICON_BUG         ; SHUCKLE
ICON_BUG         ; HERACROSS
ICON_FOX         ; SNEASEL
ICON_MONSTER     ; TEDDIURSA
ICON_MONSTER     ; URSARING
ICON_BLOB        ; SLUGMA
ICON_BLOB        ; MAGCARGO
ICON_EQUINE      ; SWINUB
ICON_EQUINE      ; PILOSWINE
ICON_SHELL       ; CORSOLA
ICON_FISH        ; REMORAID
ICON_FISH        ; OCTILLERY
ICON_MONSTER     ; DELIBIRD
ICON_FISH        ; MANTINE
ICON_BIRD        ; SKARMORY
ICON_FOX         ; HOUNDOUR
ICON_FOX         ; HOUNDOOM
ICON_BIGMON      ; KINGDRA
ICON_EQUINE      ; PHANPY
ICON_EQUINE      ; DONPHAN
ICON_VOLTORB     ; PORYGON2
ICON_EQUINE      ; STANTLER
ICON_MONSTER     ; SMEARGLE
ICON_FIGHTER     ; TYROGUE
ICON_FIGHTER     ; HITMONTOP
ICON_HUMANSHAPE  ; SMOOCHUM
ICON_HUMANSHAPE  ; ELEKID
ICON_HUMANSHAPE  ; MAGBY
ICON_EQUINE      ; MILTANK
ICON_CLEFAIRY    ; BLISSEY
ICON_FOX         ; RAIKOU
ICON_FOX         ; ENTEI
ICON_FOX         ; SUICUNE
ICON_MONSTER     ; LARVITAR
ICON_MONSTER     ; PUPITAR
ICON_MONSTER     ; TYRANITAR
ICON_LUGIA       ; LUGIA
ICON_HO_OH       ; HO_OH
ICON_HUMANSHAPE  ; CELEBI
